,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total Visitors,World Population,US Population,Percent of World Visitors,Percent of US Visitors
39,1979,23605,31992,17813,34095,108952,313924,493902,493915,262786,76542,12698,22684,1892908,4380506100,225060000,0.04,0.84
38,1980,24757,36373,28112,32466,101988,325211,557810,523549,229396,93240,25773,21594,2000269,4458003514,227220000,0.04,0.88
37,1981,24924,28590,19305,21342,158762,421817,701758,651977,346906,91385,30202,24863,2521831,4536996762,229470000,0.06,1.1
36,1982,22523,32204,25325,28584,148257,413052,688061,626834,281287,74181,16673,11916,2368897,4617386542,231660000,0.05,1.02
35,1983,18329,25647,15671,17935,123437,396890,704745,604247,314919,103385,11955,10082,2347242,4699569304,233790000,0.05,1.0
34,1984,18864,30067,11372,18303,127555,379837,667307,586631,287141,76118,2273,16559,2222027,4784011621,235820000,0.05,0.94
33,1985,20919,30590,9611,21994,159597,401168,648994,572352,261850,72944,6726,19414,2226159,4870921740,237920000,0.05,0.94
32,1986,24708,29684,20165,21681,147767,427968,663205,614295,295089,94106,6414,18674,2363756,4960567912,240130000,0.05,0.98
31,1987,27238,32559,12310,31938,185705,447465,685128,626537,361842,122637,19842,19993,2573194,5052522147,242290000,0.05,1.06
30,1988,25706,35936,18470,22999,175285,442400,636295,440130,176833,170504,18510,19045,2182113,5145426008,244500000,0.04,0.89
29,1989,24328,30768,22163,25292,216163,467193,696587,608248,403579,123454,6791,19876,2644442,5237441558,246820000,0.05,1.07
28,1990,25884,33285,19372,29242,203712,526586,760520,674454,414563,111145,8117,16692,2823572,5327231061,246200000,0.05,1.15
27,1991,28851,38050,19946,19875,188798,499107,796656,721103,432948,144944,6261,23998,2920537,5414289444,252980000,0.05,1.15
26,1992,33552,40245,19615,51933,257951,539959,799411,742879,462788,159842,8646,27584,3144405,5498919809,256510000,0.06,1.23
25,1993,38100,44049,31768,24013,191222,525378,768164,714408,401124,125107,18899,29961,2912193,5581597546,259920000,0.05,1.12
24,1994,40757,44946,27859,36280,233737,541704,831152,731012,414848,106646,7953,29251,3046145,5663150427,263130000,0.05,1.16
23,1995,40868,48034,21157,26147,201797,550978,847003,773307,468062,128483,11635,7814,3125285,5744212979,266280000,0.05,1.17
22,1996,32871,51692,27162,24321,187045,539368,818964,753934,426806,118902,10473,20633,3012171,5824891951,269390000,0.05,1.12
21,1997,31155,42392,19324,21526,191985,512895,774327,737973,403184,120266,9983,24503,2889513,5905045788,272650000,0.05,1.06
20,1998,33845,43032,17894,29689,222385,549396,829683,764238,445741,150079,9106,25742,3120830,5984793942,275850000,0.05,1.13
19,1999,34346,41120,23067,27128,203727,580624,832685,760062,445057,142049,16230,25286,3131381,6064239055,279040000,0.05,1.12
18,2000,37301,47573,20404,27869,214814,553892,768040,634104,353728,139784,13422,27302,2838233,6143493823,282160000,0.05,1.01
17,2001,44356,48980,18485,28341,229085,507737,724735,613965,373583,121958,19585,27716,2758526,6222626606,284970000,0.04,0.97
16,2002,40465,52002,23305,15904,228642,568144,794929,663266,413960,142702,11235,19123,2973677,6301773188,287630000,0.05,1.03
15,2003,36387,39494,17718,28877,206245,580919,809689,698753,404498,175877,7967,12951,3019375,6381185114,290110000,0.05,1.04
14,2004,22817,30030,20187,32434,216905,584925,732682,657869,406327,135605,13939,14597,2868317,6461159389,292810000,0.04,0.98
13,2005,22297,29018,17324,26116,225811,560014,743165,647288,393362,142912,11505,16839,2835651,6541907027,295520000,0.04,0.96
12,2006,23989,29011,18879,29381,230762,557213,738807,635666,428369,146790,12382,19046,2870295,6623517833,298380000,0.04,0.96
11,2007,25476,30928,20225,27798,264203,609606,822773,710781,463994,139789,15362,20408,3151343,6705946610,301230000,0.05,1.05
10,2008,26864,33557,19147,24433,217938,593405,808110,731063,437552,145488,12671,16352,3066580,6789088686,304090000,0.05,1.01
9,2009,24770,28355,17317,24831,261763,643844,900515,752983,489438,123867,9397,18107,3295187,6872767093,306770000,0.05,1.07
8,2010,25595,29108,21028,32763,250445,694841,957785,854837,550504,189072,16819,17388,3640185,6956823603,309320000,0.05,1.18
7,2011,24517,28174,18728,28147,207842,634316,906935,805173,536349,175433,12198,16514,3394326,7041194301,311560000,0.05,1.09
6,2012,24766,27752,20248,29056,268251,671825,888335,780286,527610,177069,14059,18472,3447729,7125828059,313830000,0.05,1.1
5,2013,24699,31053,18613,24606,293250,624429,812212,725136,557925,47560,11169,17378,3188030,7210581976,315990000,0.04,1.01
4,2014,26778,28233,18778,31356,310039,669642,858856,773357,571764,194804,11537,18340,3513484,7295290765,318300000,0.05,1.1
3,2015,28091,34343,22989,46600,386064,780768,980702,854408,680213,252013,11049,20470,4097710,7379797139,320640000,0.06,1.28
2,2016,30621,36327,22924,59253,444630,838316,995917,841036,701754,242004,24710,19685,4257177,7464022049,322940000,0.06,1.32
1,2017,29518,32275,23897,45160,419635,803652,962404,916166,640068,211987,10468,21294,4116524,7547858925,324990000,0.05,1.27
0,2018,29179,34263,22741,37766,446875,810884,940563,813970,724454,218076,13849,22380,4115000,7631091040,326690000,0.05,1.26
